experiment.date,plate.id,rowi,coli,treatment,spid,conc,wllq_notes,endpoints,srcf
20190326,MW1236-16,3,3,A03,EPAPLT0154A03,0.1,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,3,4,A03,EPAPLT0154A03,0.3,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,3,5,A03,EPAPLT0154A03,1,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,3,6,A03,EPAPLT0154A03,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,2,A04,EPAPLT0154A04,0.03,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,3,A04,EPAPLT0154A04,0.1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,4,A04,EPAPLT0154A04,0.3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,5,A04,EPAPLT0154A04,1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,6,A04,EPAPLT0154A04,3,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,4,7,A04,EPAPLT0154A04,10,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
20190326,MW1236-16,5,8,A05,EPAPLT0154A05,30,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190313_MW1236-16_13_00(000).csv;TC_20190313_MW1236-16_13_01(000).csv,20190313_Calculations_Group_1_checked.xlsx"
