experiment.date,plate.id,rowi,coli,treatment,spid,conc,wllq_notes,endpoints,srcf
20190528,MW68-0808,3,6,8,EPAPLT0167B05,2.952135,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0808,3,7,8,EPAPLT0167B05,9.84045,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0808,4,3,9,EPAPLT0167F02,0.1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0808,4,4,9,EPAPLT0167F02,0.3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0808,4,6,9,EPAPLT0167F02,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0808,4,7,9,EPAPLT0167F02,10,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190508_MW68-0808_13_00(000).csv;TC_20190508_MW68-0808_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0811,2,4,5,EPAPLT0167A01,0.3,Baseline MFR > 3.4036511 Hz; ,mea,TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv
20190528,MW68-0811,3,6,8,EPAPLT0167B05,2.952135,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0811,4,1,DMSO,DMSO,0.001,Baseline MFR < 0.6377603 Hz; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0811,4,3,9,EPAPLT0167F02,0.1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0811,4,4,9,EPAPLT0167F02,0.3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
20190528,MW68-0811,4,6,9,EPAPLT0167F02,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_20190508_MW68-0811_13_00(000).csv;TC_20190508_MW68-0811_13_01(000).csv,20190515_Calculations_DNT Group_1-DONE.xlsx"
