experiment.date,plate.id,rowi,coli,treatment,spid,conc,wllq_notes,endpoints,srcf
20180326,MW1207-15,4,1,DMSO,DMSO,0,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-15_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-15_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-15,5,7,Picrotoxin,Picrotoxin,10,Baseline # of AE < 10; ,"mea,cytotox","HESI_20180314_MW1207-15_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-15_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-15,6,8,TTX,Tetrodotoxin,1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","HESI_20180314_MW1207-15_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-15_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-16,2,5,Phenytoin,1Phenytoin,1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-16_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-16_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-16,2,7,Phenytoin,1Phenytoin,1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-16_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-16_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-16,5,8,Bic,Bicuculline,25,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-16_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-16_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-16,6,6,Phenytoin,1Phenytoin,100,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-16_12_00(000)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-16_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-17,2,3,Linopirdine,1Linopirdine,1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-17_12_00(001)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-17_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-17,3,7,Amoxicillin,1Amoxicillin,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-17_12_00(001)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-17_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-17,4,7,Amoxicillin,1Amoxicillin,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-17_12_00(001)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-17_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-17,6,1,"DMSO,Lysis","DMSO,Tritonx100","0,NA",Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HESI_20180314_MW1207-17_12_00(001)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-17_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180326,MW1207-17,6,2,Linopirdine,1Linopirdine,100,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; rval is NA; ,"mea,cytotox","HESI_20180314_MW1207-17_12_00(001)_Neural Statistics Compiler(000).csv;HESI_20180314_MW1207-17_12_02(000)_Neural Statistics Compiler(000).csv,20180314 Culture Group 1 HESI.xlsx"
20180403,MW1207-18,1,7,Pilocarpine,1Pilocarpine,0.3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,1,8,Bic,Bicuculline,25,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; rval is NA; Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,2,1,DMSO,DMSO,0,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,2,3,Strychnine,1Strychnine,1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,2,6,Pilocarpine,1Pilocarpine,1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,2,8,Bic,Bicuculline,25,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,3,1,DMSO,DMSO,0,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,3,4,Strychnine,1Strychnine,3,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,3,6,Pilocarpine,1Pilocarpine,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,3,7,Pilocarpine,1Pilocarpine,3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,1,DMSO,DMSO,0,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,2,Strychnine,1Strychnine,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,3,Strychnine,1Strychnine,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,5,Pilocarpine,1Pilocarpine,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,6,Pilocarpine,1Pilocarpine,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
20180403,MW1207-18,4,7,Pilocarpine,1Pilocarpine,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","HS_Cortical_20180322_MW1207-18_12_00(000)_Neural Statistics Compiler(000).csv;HS_Cortical_20180322_MW1207-18_12_02(000)_Neural Statistics Compiler(000).csv,Group 2 HESI Calculations Cortical 20180322.xlsx"
