experiment.date,plate.id,rowi,coli,treatment,spid,conc,wllq_notes,endpoints,srcf
20210916,MW502627A,1,1,DMSO,DMSO,0.001,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,1,2,Picrotoxin,Picrotoxin,0.03,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,3,Picrotoxin,Picrotoxin,0.1,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,4,Picrotoxin,Picrotoxin,0.3,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,5,Picrotoxin,Picrotoxin,1,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,6,Picrotoxin,Picrotoxin,3,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,7,Picrotoxin,Picrotoxin,10,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,1,8,Picrotoxin,Picrotoxin,30,Picrotoxin is replaced with Tween 20,"cytotox,mea","IM_20210901_MW502627A_Calculations.xlsx,IM_20210901_MW502627A_15_00_(000)(001)_Baseline.csv;IM_20210901_MW502627A_15_01_(003)(001)_Treated.csv"
20210916,MW502627A,2,1,DMSO,DMSO,0.001,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,2,Tributyltin Chloride,Tributyltin Chloride,0.03,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,3,Tributyltin Chloride,Tributyltin Chloride,0.1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,4,Tributyltin Chloride,Tributyltin Chloride,0.3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,5,Tributyltin Chloride,Tributyltin Chloride,1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,6,Tributyltin Chloride,Tributyltin Chloride,3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,7,Tributyltin Chloride,Tributyltin Chloride,10,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,2,8,Tributyltin Chloride,Tributyltin Chloride,30,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,1,EtOH:DMSO,EtOH:DMSO,0.001,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,2,Deltamethrin,Deltamethrin,0.03,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,3,Deltamethrin,Deltamethrin,0.1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,4,Deltamethrin,Deltamethrin,0.3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,5,Deltamethrin,Deltamethrin,1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,6,Deltamethrin,Deltamethrin,3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,7,Deltamethrin,Deltamethrin,10,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,3,8,Deltamethrin,Deltamethrin,30,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,1,H2O,H2O,0.001,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,2,Glyphosate,Glyphosate,0.03,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,3,Glyphosate,Glyphosate,0.1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,4,Glyphosate,Glyphosate,0.3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,5,Glyphosate,Glyphosate,1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,6,Glyphosate,Glyphosate,3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,7,Glyphosate,Glyphosate,10,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,4,8,Glyphosate,Glyphosate,30,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,5,1,EtOH,EtOH,0.001,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,5,2,Lindane,Lindane,0.03,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,5,3,Lindane,Lindane,0.1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,5,4,Lindane,Lindane,0.3,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
20210916,MW502627A,5,5,Lindane,Lindane,1,LDH and CTB timepoint differs from other experiments,cytotox,IM_20210901_MW502627A_Calculations.xlsx
