"","spid","chid","stkc","stkc_unit","tested_conc_unit"
"1","EPAPLT0198A01",25018,20,"mM","uM"
"2","EPAPLT0198A02",24687,20,"mM","uM"
"3","EPAPLT0198A03",30428,19.9834003448486,"mM","uM"
"4","EPAPLT0198A04",25811,20,"mM","uM"
"5","EPAPLT0198A05",20778,20,"mM","uM"
"6","EPAPLT0198A06",40704,20.0006008148193,"mM","uM"
"7","EPAPLT0198A07",20043,20.0032005310059,"mM","uM"
"8","EPAPLT0198A08",22445,20.0002002716064,"mM","uM"
"9","EPAPLT0198A09",44721,19.9997005462646,"mM","uM"
"10","EPAPLT0198A10",23648,19.9995002746582,"mM","uM"
"11","EPAPLT0198A11",50403,20,"mM","uM"
"12","EPAPLT0198A12",44788,19.9997005462646,"mM","uM"
"13","EPAPLT0198B01",41273,20.0002002716064,"mM","uM"
"14","EPAPLT0198B02",29353,20,"mM","uM"
"15","EPAPLT0198B03",44748,20,"mM","uM"
"16","EPAPLT0198B04",20759,20,"mM","uM"
"17","EPAPLT0198B05",47138,20,"mM","uM"
"18","EPAPLT0198B06",23622,20.0002994537354,"mM","uM"
"19","EPAPLT0198B07",40285,20,"mM","uM"
"20","EPAPLT0198B08",27390,20.0090007781982,"mM","uM"
"21","EPAPLT0198B09",39719,19.9983005523682,"mM","uM"
"22","EPAPLT0198B10",47070,20,"mM","uM"
"23","EPAPLT0198B11",27373,20.0006008148193,"mM","uM"
"24","EPAPLT0198B12",32316,20.0002002716064,"mM","uM"
"25","EPAPLT0198C01",21322,20,"mM","uM"
"26","EPAPLT0198C02",29616,20.0112991333008,"mM","uM"
"27","EPAPLT0198C03",21517,19.9894008636475,"mM","uM"
"28","EPAPLT0198C04",44475,20,"mM","uM"
"29","EPAPLT0198C05",47511,20.0004997253418,"mM","uM"
"30","EPAPLT0198C06",23745,19.9997005462646,"mM","uM"
"31","EPAPLT0198C07",26108,20.0002994537354,"mM","uM"
"32","EPAPLT0198C08",29650,20,"mM","uM"
"33","EPAPLT0198C09",22406,20,"mM","uM"
"34","EPAPLT0198C10",25857,20,"mM","uM"
"35","EPAPLT0198C11",21790,19.9997005462646,"mM","uM"
"36","EPAPLT0198C12",26080,20,"mM","uM"
"37","EPAPLT0198D01",27625,20.0009994506836,"mM","uM"
"38","EPAPLT0198D02",40792,19.9997997283936,"mM","uM"
"39","EPAPLT0198D03",44812,19.9831008911133,"mM","uM"
"40","EPAPLT0198D04",21968,20.0002002716064,"mM","uM"
"41","EPAPLT0198D05",20142,19.9997005462646,"mM","uM"
"42","EPAPLT0198D06",44742,19.9997005462646,"mM","uM"
