experiment.date,plate.id,rowi,coli,treatment,spid,conc,wllq_notes,endpoints,srcf
20150602,MW1062-43,1,3,TX001551,TP0001411A01,10,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,1,6,TX001551,TP0001411A01,0.3,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,1,7,TX001551,TP0001411A01,0.1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,2,6,TX009687,TP0001411A02,0.3,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,2,7,TX009687,TP0001411A02,0.1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,2,8,TX009687,TP0001411A02,0.03,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,3,5,TX015538,TP0001411A03,1,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,3,6,TX015538,TP0001411A03,0.3,Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,3,7,TX015538,TP0001411A03,0.1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
20150602,MW1062-43,4,7,TX001417,TP0001411A04,0.1,Baseline # of AE < 10; Baseline MFR < 0.6377603 Hz; ,"mea,cytotox","TC_MW 1062-43_20150520_20150602_13_00(1)_Neural Statistics Compiler(000).csv;TC_MW 1062-43_20150520_20150602_13_01(1)_Neural Statistics Compiler(000).csv,Conc_Response_Log_JS.xlsx"
